message,label
Your appointment with Dr. Smith is confirmed for Friday at 10 AM.,0
Happy Birthday Jessica! Wishing you a fantastic day and great year ahead.,0
Congratulations! You were selected to receive 0.5 BTC reward. Claim your prize immediately: http://bit-claim.org,1
SECURITY ALERT: Unauthorized login detected on your account. Tap here to lock account: http://secure-auth.net,1
Happy Birthday Emily! Wishing you a fantastic day and great year ahead.,0
"Hi Emily, your package delivery is scheduled for tomorrow between 2 PM and 4 PM.",0
"Hey, are we still meeting for lunch today? Let me know!",0
Immediate action required! Your social security number has been compromised. Verify identity now: http://ssn-verify.info,1
"ACT NOW! You have an unclaimed tax refund of $1,250. Click here to submit details: http://irs-refund-claim.com",1
"Dear Customer, your card has been charged $499.99 for order #82258. If not you, call support immediately or visit http://cancel-order.top",1
"Dear Customer, your card has been charged $499.99 for order #57754. If not you, call support immediately or visit http://cancel-order.top",1
Your appointment with Dr. Smith is confirmed for Friday at 10 AM.,0
FINAL WARNING: Your parcel delivery failed due to unpaid customs fee of $2.99. Pay now: http://postal-fee.org,1
Your appointment with Dr. Smith is confirmed for Friday at 10 AM.,0
"Dear Customer, your card has been charged $499.99 for order #89114. If not you, call support immediately or visit http://cancel-order.top",1
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
Your appointment with Dr. Smith is confirmed for Friday at 10 AM.,0
FINAL WARNING: Your parcel delivery failed due to unpaid customs fee of $2.99. Pay now: http://postal-fee.org,1
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
Hey! Don't forget our meeting today at 3:00 PM in Conference Room B.,0
"Dear Customer, your card has been charged $499.99 for order #61455. If not you, call support immediately or visit http://cancel-order.top",1
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
Immediate action required! Your social security number has been compromised. Verify identity now: http://ssn-verify.info,1
Happy Birthday Jessica! Wishing you a fantastic day and great year ahead.,0
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
Thanks for visiting our store! Here is your digital receipt for purchase #1978.,0
"Hi Sarah, your package delivery is scheduled for tomorrow between 2 PM and 4 PM.",0
FINAL WARNING: Your parcel delivery failed due to unpaid customs fee of $2.99. Pay now: http://postal-fee.org,1
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
Thanks for visiting our store! Here is your digital receipt for purchase #7831.,0
"Dear Customer, your card has been charged $499.99 for order #49852. If not you, call support immediately or visit http://cancel-order.top",1
Your weekly account summary is ready to view in the banking app.,0
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
"Hey, are we still meeting for lunch today? Let me know!",0
"Hey, are we still meeting for lunch today? Let me know!",0
"ACT NOW! You have an unclaimed tax refund of $1,250. Click here to submit details: http://irs-refund-claim.com",1
Your weekly account summary is ready to view in the banking app.,0
"Hey, are we still meeting for lunch today? Let me know!",0
"Dear Customer, your card has been charged $499.99 for order #39480. If not you, call support immediately or visit http://cancel-order.top",1
Hey! Don't forget our meeting today at 3:00 PM in Conference Room B.,0
"Hi Jessica, your package delivery is scheduled for tomorrow between 2 PM and 4 PM.",0
Can you please review the attached document and send me your feedback?,0
"Hi Sarah, your package delivery is scheduled for tomorrow between 2 PM and 4 PM.",0
"Dear Customer, your card has been charged $499.99 for order #30749. If not you, call support immediately or visit http://cancel-order.top",1
"ACT NOW! You have an unclaimed tax refund of $1,250. Click here to submit details: http://irs-refund-claim.com",1
FINAL WARNING: Your parcel delivery failed due to unpaid customs fee of $2.99. Pay now: http://postal-fee.org,1
Your appointment with Dr. Smith is confirmed for Friday at 10 AM.,0
"Hey, are we still meeting for lunch today? Let me know!",0
Happy Birthday Daniel! Wishing you a fantastic day and great year ahead.,0
"ACT NOW! You have an unclaimed tax refund of $1,250. Click here to submit details: http://irs-refund-claim.com",1
"You won a $1,000 Amazon Gift Card! Claim your free reward today: http://claim-giftcard.xyz",1
"Hi Sarah, your package delivery is scheduled for tomorrow between 2 PM and 4 PM.",0
FINAL WARNING: Your parcel delivery failed due to unpaid customs fee of $2.99. Pay now: http://postal-fee.org,1
